Município;Código;Gentílico;Prefeito_2017;Area_Territorial_KM2_2019;Populacao_Estimada_Pessoas_2020;Densidade_Demográfica_Hab_KM2_2010;Escolarização_6_a_14_anos_%_2010;IDHM_2010;Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017;DespesasEmpenhadas_REAIS_X_1000_2017;PIB_per_capita_REAIS_2017
Cajobi;3509304;cajobiense;GUSTAVO SEBASTIÃO DA COSTA;176.929;10596;55.22;99.7;0.734;10.42;3.021.652.334;14620.34
Cajuru;3509403;cajuruense;JOÃO BATISTA RUGGERI RÉ;660.088;26393;35.41;97.1;0.713;11.73;59.784.761;22413.69
Campina do Monte Alegre;3509452;campinomontealegrense;GIL VICENTE DE OLIVEIRA JUNIOR;184.479;6057;30.09;97.5;0.717;26.67;1.947.558.047;17775.98
Campinas;3509502;campineiro;JONAS DONIZETTE FERREIRA;794.571;1213792;1359.6;96;0.805;8.88;471.997.568.304;49942.59
Campo Limpo Paulista;3509601;campo-limpense;ROBERTO ANTONIO JAPIM DE ANDRADE;79.403;85541;932.92;96.7;0.769;11.35;16.342.727.489;23293.67
Campos do Jordão;3509700;jordanense;FREDERICO GUIDONI SCARANELLO;290.309;52405;164.76;97.1;0.749;7.82;18.037.879.266;23235.33
Campos Novos Paulista;3509809;campos-novense;JÚLIO CÉSAR DO CARMO;484.199;4997;9.38;97.9;0.706;25.97;1.966.472.806;25782.07
Cananéia;3509908;cananeiense;GABRIEL DOS SANTOS OLIVEIRA ROSA;1.237.354;12541;9.86;97.3;0.72;10.53;472.603.411.199.999;20522.82
Canas;3509957;canense;LUCEMIR DO AMARAL;53.261;5204;82.33;98.3;0.704;47.06;2.046.471.278;51603.95
Cândido Mota;3510005;cândido-motense;CARLOS ROBERTO BUENO;595.811;31346;50.12;98.2;0.747;14.84;9.180.050.762;32167.96
Cândido Rodrigues;3510104;cândido-rodriguense;ANTONIO CLAUDIO FALCHI;70.892;2799;37.94;99;0.789;47.62;1.417.740.555;41307.08
Canitar;3510153;canitarense;ANIBAL FELICIANO;57.459;5292;76.34;96.1;0.68;28.57;1.700.702.541;38697.82
Capão Bonito;3510203;capão-bonitense;MARCO ANTONIO CITADINI;1640.23;47118;28.15;98.7;0.721;8.97;12.248.296.613;17158.94
Capela do Alto;3510302;capelense;PERICLES GONÇALVES;169.89;20985;103.2;96.5;0.699;14.04;5.183.196.495;14285.4
Capivari;3510401;capivariano;RODRIGO ABDALA PROENÇA;322.878;56379;150.45;97.3;0.75;16.13;19.216.205.772;34575.39
Caraguatatuba;3510500;caraguatatubense;JOSE PEREIRA DE AGUILAR JUNIOR;484.947;123389;207.88;97.7;0.759;13.09;5.953.609.078;25073.95
Carapicuíba;3510609;carapicuibano;MARCO AURELIO DOS SANTOS NEVES;34.546;403183;10698.32;96.2;0.749;10.77;41.606.726.676;13854.1
Cardoso;3510708;cardosense;JAIR CESAR NATTES;639.248;12349;18.45;96.8;0.722;14.29;4.032.040.495;21054.28
Casa Branca;3510807;casa-branquense;MARCO CESAR DE PAIVA AGA;864.225;30520;32.76;96.9;0.73;6.33;9.269.325.741;26596.41
Cássia dos Coqueiros;3510906;cassiano;DILMA CUNHA DA SILVA;191.683;2505;13.74;99.5;0.734;47.62;129.997.879;53975.74
Castilho;3511003;castilhense;APARECIDA DE FATIMA GAVIOLI NASCIMENTO;1.065.318;21267;16.89;99.1;0.731;24.39;7.716.998.419;49166.56
Catanduva;3511102;catanduvense;AFONSO MACCHIONE NETO;290.596;122497;388.24;98.1;0.785;8.14;40.370.092.796;32932.52
Catiguá;3511201;catigüense;VERA LUCIA DE AZEVEDO VALLEJO;148.393;7855;48.03;98.4;0.751;10.75;1.943.758.657;15366.45
Cedral;3511300;cedralense;PAULO RICARDO BEOLCHI DE LUCAS;197.838;9346;40.33;98.7;0.766;19.61;3.096.082.651;34862.28
Cerqueira César;3511409;cerqueirense;MARCOS ANTONIO ZALOTI;511.621;20191;34.27;98.2;0.729;4.1;642.727.041;38625.59
Cerquilho;3511508;cerquilhense;ALDOMIR JOSÉ SANSON;127.803;49802;309.98;99.6;0.782;5.96;13.870.953.714;37302.48
Cesário Lange;3511607;cesariano-lange;RONALDO PAIS DE CAMARGO;190.392;18375;81.46;96.3;0.706;21.28;5.341.386.635;23835.12
Charqueada;3511706;charqueadense;ROMEU ANTONIO VERDI;175.846;17367;85.79;97.9;0.736;19.42;3.858.850.552;20922.56
Clementina;3511904;clementinense;CÉLIA CONCEIÇÃO FREITAS GALHARDO;168.59;8757;41.85;98;0.725;8.55;2.523.684.461;29700.4
Colina;3512001;colinense;DIAB TAHA;422.303;18535;41.11;98.4;0.757;8.1;6.947.246.161;51642.33
Colômbia;3512100;colombiense;ENDRIGO LUCAS GAMBARATO BERTIN;728.648;6216;8.22;99.2;0.71;11.76;3.861.876.712;57545.34
